순위,영화명,변동폭
1,1987,0
2,신과함께-죄와 벌,0
3,코코,0
4,쥬만지: 새로운 세계,0
5,강철비,0
6,다운사이징,1
7,위대한 쇼맨,1
8,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",1
9,페르디난드,1
10,원더,0
11,메이즈 러너: 데스 큐어,1
12,그것만이 내 세상,1
13,염력,1
14,골든슬럼버,2
15,너의 이름은.,2
16,러빙 빈센트,1
17,블레이드 러너 2049,2
18,흥부,0
19,직쏘,6
20,메이헴,0
21,찰스 디킨스의 비밀 서재,2
22,다키스트 아워,2
23,기억의 밤,2
24,월요일이 사라졌다,2
25,꾼,3
26,극장판 포켓몬스터 너로 정했다!,3
27,하이큐!! 콘셉트의 싸움,2
28,1급기밀,0
29,돌아와요 부산항애(愛),2
30,패터슨,3
31,22년 후의 고백,1
32,어벤져스: 인피니티 워,2
33,스타박'스 다방,0
34,B급 며느리,6
35,스타워즈: 라스트 제다이,4
36,모범생,11
37,블랙 팬서,0
38,브이아이피,5
39,조선명탐정: 흡혈괴마의 비밀,4
40,원더풀 라이프,1
41,더 포리너,5
42,범죄도시,4
43,너의 췌장을 먹고 싶어,23
44,반드시 잡는다,3
45,리틀 포레스트,3
46,덩케르크,1
47,남영동1985,1
48,하우스 오브 데스,2
49,굿바이 크리스토퍼 로빈,15
50,수면의 과학,1
